R_A, R_I, D_A, D_I
0.14, 0.52, 0.01, 0.49
0.07, 0.88, 1.76, 1.67
0.26,0.77,1.49,1.55
0.22,0.35,1.39,0.98
0.21,0.75,1.77,1.64
0.21,0.75,1.77,1.64
0.37,0.23,0.96,1.87
0.15,0.22,0.27,0.07
0.35,0.41,1.05,1.81
0.33,0.31,1.92,1.85
0.24,0.42,1.06,1.23
0.26,0.62,0.26,1.35
0.11,0.55,0.10,0.32
0.21,0.61,0.44,0.82
0.36,0.51,1.17,0.37
0.31,0.46,1.01,0.37
0.14,0.59,0.43,1.95
0.20,1.15,0.05,1.04
0.13,0.52,1.18,0.49
0.10,1.01,1.75,1.55
0.22,0.58,1.50,0.10
0.38,0.17,0.75,0.55
0.14,0.58,1.55,0.13
0.15,0.48,1.94,0.35
0.47,0.29,0.31,0.35
0.13,0.47,0.52,0.98
1.81,1.98,0.73,1.96
0.28,0.51,0.79,0.83
0.38,0.36,0.76,0.44
0.07,0.81,1.09,1.51
0.19.0.38,1.04,1.29
0.09,1.06,1.18,1.75
0.26,0.67,1.05,1.32
0.37,0.31,1.15,1.22
